61,80
57,70
43,80
96,00
5,30
19,60
35,60
15,20
88,30
99,70
53,50
15,50
9,60
35,70
99,70
82,10
91,30
34,30
15,90
1,90
19,70
37,20
5,60
52,90
70,90
99,00
38,50
49,70
66,50
0,60
81,90
49,90
73,90
70,20
76,10
29,90
35,40
31,80
27,70
76,30
3,80
82,10
16,70
59,70
5,90
52,50
17,80
72,90
17,70
62,00
33,70
59,10
19,30
23,20
7,70
44,70
13,80
74,20
81,00
96,30
21,00
73,60
59,80
56,60
64,70
84,40
22,70
88,60
50,00
37,30
63,90
48,50
0,80
98,60
40,00
81,00
72,40
20,50
55,30
57,60
32,60
53,40
74,90
69,00
71,50
37,50
9,30
4,20
37,60
64,30
28,50
73,10
18,50
5,00
52,50
61,90
89,40
38,30
83,60
44,50
12,20
89,80
26,50
4,70
16,90
18,10
26,90
92,60
76,50
17,90
29,70
31,10
66,40
28,30
64,60
91,90
5,00
27,20
13,60
49,60
26,80
5,10
97,90
16,40
95,00
93,10
16,40
43,90
10,40
29,90
75,90
4,30
71,80
73,50
54,70
99,90
56,60
33,50
11,30
47,10
97,00
39,10
33,50
47,80
73,20
6,30
12,30
78,60
41,10
40,00
77,30
46,60
77,40
95,60
26,10
90,00
91,50
76,00
88,20
12,10
40,10
96,70
89,60
83,70
82,00
5,60
21,30
71,20
10,30
4,70
6,70
33,90
95,90
82,70
38,40
74,30
90,70
41,00
48,30
41,90
58,30
17,60
36,40
71,90
86,10
59,30
19,60
64,70
35,10
22,90
40,90
6,80
25,70
35,40
81,00
77,10
99,90
12,20
85,60
50,60
92,40
8,30
7,20
67,20
54,40
41,30
59,80
38,20
46,90
62,40
11,60
73,10
52,30
44,80
37,00
33,40
22,10
48,50
66,30
63,60
83,80
83,60
33,60
63,00
10,50
56,00
18,60
35,40
57,60
99,00
58,10
61,20
8,90
51,50
45,30
45,10
17,30
65,90
14,90
45,50
5,60
78,30
73,00
49,40
25,30
90,50
25,90
69,70
2,10
40,80
9,90
4,60
83,90
14,70
75,50
56,70
83,50
86,40
3,00
18,20
91,70
32,80
69,70
7,30
71,60
48,90
39,00
67,10
48,90
95,70
82,50
77,80
46,90
42,90
27,50
9,10
37,90
61,80
73,60
14,90
94,90
9,70
31,10
12,80
13,20
90,80
72,70
66,70
42,60
21,90
16,60
39,10
14,80
1,40
88,60
82,10
29,50
71,40
66,10
72,80
31,30
13,10
13,70
36,20
32,60
35,90
15,40
0,60
36,70
24,90
36,50
63,40
72,90
52,00
82,60
76,70
35,40
16,10
16,90
90,60
89,10
98,90
22,40
15,10
75,50
57,80
0,00
96,80
15,00
89,80
55,40
2,60
91,90
20,60
74,60
57,00
6,10
44,90
91,50
65,70
77,10
17,60
42,90
40,40
67,80
13,00
61,70
98,30
82,30
14,30
0,20
98,70
83,60
61,30
96,40
44,60
6,70
23,00
66,50
46,70
10,60
62,90
40,30
81,10
24,50
29,70
7,80
3,20
28,20
90,50
40,70
36,70
47,90
96,40
16,50
74,80
56,30
95,30
53,90
66,10
40,70
71,10
27,70
66,90
91,60
10,10
53,80
56,60
97,70
39,90
93,50
98,10
62,50
2,10
34,10
50,50
50,10
24,60
43,90
69,50
76,30
70,70
49,10
53,10
46,80
8,80
12,40
5,30
78,40
38,60
48,10
78,00
98,30
5,80
85,40
41,60
17,30
76,30
91,80
66,30
18,80
0,70
86,50
7,30
70,20
31,10
64,30
41,40
40,50
79,80
47,10
97,00
64,20
65,70
60,10
69,20
59,00
62,30
1,50
32,40
98,60
67,30
29,00
27,00
32,00
0,80
42,20
36,60
54,80
18,60
73,80
81,00
52,80
51,20
74,70
80,60
74,10
0,90
61,30
78,00
66,60
40,80
71,90
6,70
39,70
59,90
9,60
49,50
40,30
77,60
61,20
7,10
73,80
26,50
61,40
58,10
17,60
29,10
34,10
37,90
96,20
88,00
23,40
84,00
75,50
39,30
3,50
41,80
40,50
16,90
54,50
9,30
20,20
82,10
16,50
25,50
99,60
51,70
87,00
58,20
34,70
21,60
14,10
32,00
58,30
89,80
14,30
8,60
85,70
5,10
80,60
85,40
53,40
23,20
17,40
29,10
66,80
60,60
82,70
38,20
31,20
35,10
29,70
73,50
51,90
52,40
29,90
73,10
14,20
37,30
41,60
44,70
54,70
30,50
43,90
3,70
16,00
9,50
76,50
74,80
50,70
28,50
43,10
84,20
30,00
13,80
16,30
82,00
1,50
65,90
70,90
77,60
31,30
80,50
15,30
15,90
23,60
42,50
52,10
73,90
74,00
41,40
89,60
2,30
28,40
1,90
98,60
10,00
28,00
81,70
73,70
25,60
23,10
89,90
53,00
86,70
29,20
4,10
19,10
70,30
41,90
3,20
19,90
98,90
81,60
53,60
11,70
97,30
73,30
99,50
23,10
0,50
85,90
40,80
95,00
40,40
39,90
20,60
32,20
24,00
90,80
79,30
15,40
14,00
32,20
21,90
36,30
53,50
85,60
84,90
45,40
65,20
28,20
79,10
5,00
98,00
52,50
17,00
